"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:6.4 (Santiago)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:6.5 (Santiago)"
"Samba","","3.0.14a"
"Samba","","3.0.20"
"Samba","","3.0.20b"
"Samba","","3.0.22-13.16-SUSE-SLES10"
"Samba","","3.0.3"
"Samba","","3.0.6-2.3E"
"Samba","","3.0.9-1.3E.2"
"Samba","","Samba for GuardianOS v5.0.133.200807301131"
"SLES","Likewise Open unknown.unknown.unknown","11"
"SLES","Samba 4.10.5-git.129.35f7bb6e1771.1-SUSE-SLE_12-x86_64","12.5"
"TMOS","","12.0.0"
"TMOS","","13.1.0.2"
"TMOS","","14.1.4.4"
"Ubuntu","","22.04.01"
"Ubuntu","CentrifyDC 5.1.3-482:W:CDC","6.1:10.04 (lucid)"
"Ubuntu","CentrifyDC 5.1.3-482:W:CDC","6.1:14.04 (trusty)"
"Ubuntu","CentrifyDC 5.1.3-482:W:CDC","6.1:6.06 (dapper)"
"Ubuntu","PBIS Open 9.0.525.525.b1ffc871065cb13fcdde0f60c522a80a658c607a","18.04"
"unknown","Likewise Identity 5.3.0","unknown"
"unknown","Likewise Identity 5.4.0.40134","unknown"
"unknown","Likewise Identity 5.4.0.50446","unknown"
"unknown","Likewise Identity 5.4.0.51423","unknown"
"unknown","Likewise Identity 5.4.0.60874","unknown"
"unknown","Likewise Open 6.2.0","unknown"
"unknown","Likewise Open unknown.unknown.unknown","unknown"
"unknown","PBIS Open 8.2.1.7.2.1.7.2.0","unknown"
"unknown","PBIS Open 8.2.1.7.4.1.7.4.0","unknown"
"unknown","PBIS Open 8.2.1.7.7.1.7.7.0","unknown"
"unknown","PBIS Open 8.8.506.506.ce900dbb59c6b61ae156402a44883c18a8f08cf6","unknown"
"Windows 10 Business","","10.0 (19042)"
"Windows 10 Business","","10.0 (19044)"
"Windows 10 Education","","10.0 (10586)"
"Windows 10 Education","","10.0 (17134)"
"Windows 10 Education","","10.0 (18363)"
"Windows 10 Education","","10.0 (19042)"
"Windows 10 Education","","10.0 (19043)"
"Windows 10 Education","","10.0 (19044)"
"Windows 10 Education","","10.0 (19045)"
"Windows 10 Education N","","10.0 (19044)"
"Windows 10 Enterprise","","10.0 (10240)"
"Windows 10 Enterprise","","10.0 (10586)"
"Windows 10 Enterprise","","10.0 (14393)"
"Windows 10 Enterprise","","10.0 (15063)"
"Windows 10 Enterprise","","10.0 (16299)"
"Windows 10 Enterprise","","10.0 (17134)"
"Windows 10 Enterprise","","10.0 (17763)"
"Windows 10 Enterprise","","10.0 (18362)"
"Windows 10 Enterprise","","10.0 (18363)"
"Windows 10 Enterprise","","10.0 (19041)"
"Windows 10 Enterprise","","10.0 (19042)"
"Windows 10 Enterprise","","10.0 (19043)"
"Windows 10 Enterprise","","10.0 (19044)"
"Windows 10 Enterprise","","10.0 (19045)"
"Windows 10 Enterprise 2015 LTSB","","10.0 (10240)"
"Windows 10 Enterprise 2016 LTSB","","10.0 (14393)"
"Windows 10 Enterprise Evaluation","","10.0 (19042)"
"Windows 10 Enterprise for Virtual Desktops","","10.0 (19045)"
"Windows 10 Enterprise Insider Preview","","10.0 (10130)"
"Windows 10 Enterprise Insider Preview","","10.0 (11099)"
"Windows 10 Enterprise Insider Preview","","10.0 (18936)"
"Windows 10 Enterprise Insider Preview","","10.0 (19569)"
"Windows 10 Enterprise LTSC","","10.0 (17763)"
"Windows 10 Enterprise LTSC","","10.0 (19044)"
"Windows 10 Enterprise N","","10.0 (10240)"
"Windows 10 Enterprise N","","10.0 (14393)"
"Windows 10 Enterprise N","","10.0 (15063)"
"Windows 10 Enterprise N","","10.0 (16299)"
"Windows 10 Enterprise N","","10.0 (17134)"
"Windows 10 Enterprise N","","10.0 (17763)"
"Windows 10 Enterprise N","","10.0 (19042)"
"Windows 10 Enterprise N","","10.0 (19043)"
"Windows 10 Enterprise N","","10.0 (19044)"
"Windows 10 Enterprise N","","10.0 (19045)"
"Windows 10 Enterprise Technical Preview","","10.0 (9926)"
"Windows 10 Entreprise","","10.0 (14393)"
"Windows 10 Entreprise","","10.0 (15063)"
"Windows 10 Entreprise","","10.0 (16299)"
"Windows 10 Entreprise","","10.0 (17134)"
"Windows 10 Entreprise","","10.0 (17763)"
"Windows 10 Entreprise","","10.0 (18362)"
"Windows 10 Entreprise","","10.0 (18363)"
"Windows 10 Entreprise","","10.0 (19041)"
"Windows 10 Entreprise","","10.0 (19042)"
"Windows 10 Entreprise","","10.0 (19043)"
"Windows 10 Entreprise","","10.0 (19044)"
"Windows 10 Entreprise","","10.0 (19045)"
"Windows 10 Entreprise 2016 LTSB","","10.0 (14393)"
"Windows 10 Entreprise LTSC","","10.0 (17763)"
"Windows 10 Entreprise LTSC","","10.0 (19044)"
"Windows 10 IoT Enterprise","","10.0 (18363)"
"Windows 10 IoT Enterprise","","10.0 (19044)"
"Windows 10 Pro","","10.0 (10240)"
"Windows 10 Pro","","10.0 (10586)"
"Windows 10 Pro","","10.0 (14393)"
"Windows 10 Pro","","10.0 (15063)"
"Windows 10 Pro","","10.0 (16299)"
"Windows 10 Pro","","10.0 (17134)"
